全国地方公共団体コード,ID,地方公共団体名,許可番号,営業形態,名称,電話番号,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,営業者氏名,法人代表者氏名,営業者_所在地_連結表記,営業者_所在地_都道府県,営業者_所在地_市区町村,営業者_所在地_町字,営業者_所在地_番地以下,営業者_所在地_建物名等(方書),営業者_ 電話番号,許可年月日,備考
131067,,,28台台健生環き第146号,簡易宿所営業,=+ｺｺ,,浅草一丁目14番3号,,,,,,35.711784,139.793472,,,,,,,,,,2017-04-24,
131067,,,6台台健生環き第10165号,旅館・ホテル営業,THE DAY 浅草雷門,,浅草一丁目16番3号,,,,,,35.711594,139.79422,株式会社Q Living,,東京都渋谷区神宮前二丁目33番12号-701,,,,,,(03)6805-0696,2025-02-12,
131067,,,6台台健生環き第10107号,旅館・ホテル営業,Remon House,,浅草一丁目17番8号,,,,,,35.711632,139.79509,日本殿堂株式会社,,東京都中野区本町1-2-9殿堂dendou201号室,,,,,,080-9770-3330,2024-11-06,
131067,,,30台台健生環き第28号,旅館・ホテル営業,雷門旅館,(03)3844-1873,浅草一丁目18番2号,,,,,,35.71125,139.796234,株式会社雷門旅館,,東京都台東区浅草一丁目18番2号,,,,,,(03)3844-1873,2019-07-11,
131067,,,35第115号,旅館・ホテル営業,ことぶき,(03)3844-5088,浅草一丁目18番4号,,,,,,35.711292,139.795914,,,,,,,,,,1960-10-03,
131067,,,17台台健生環き第88号,旅館・ホテル営業,ちくま旅館,(03)3841-9078,浅草一丁目19番2号,,,,,,35.711498,139.796753,有限会社 千曲旅館,,東京都台東区浅草一丁目19番2号,,,,,,(03)3841-9078,2005-12-02,
131067,,,6台台健生環き第10154号,簡易宿所営業,YOROI HOTEL,,浅草一丁目20番4号,,,,,,35.711582,139.795944,三和建設株式会社,,東京都港区南青山五丁目4番30号,,,,,,(03)3797-1181,2025-02-20,
131067,,,51台浅健衛環き第6号,旅館・ホテル営業,旅館 加茂川,(03)3843-2681,浅草一丁目30番10号,,,,,,35.71217,139.795898,有限会社 旅館 加茂川,,浅草一丁目30番10号,,,,,,,1976-11-04,
131067,,,第5号,旅館・ホテル営業,旅館 三河屋,(03)3844-8807,浅草一丁目30番12号,,,,,,35.712116,139.796524,株式会社旅館三河屋,,東京都台東区浅草一丁目30番12号,,,,,,,1971-08-07,
131067,,,2台台健生環き第10149号,旅館・ホテル営業,浅草楓,,浅草一丁目31番5号,,,,,,35.712238,139.795822,株式会社Y&J,,東京都中央区築地六丁目4番5号ｼﾃｨｽｸｴｱ築地802,,,,,,(03)6278-8981,2021-12-02,
131067,,,6台浅健衛環き第11号,旅館・ホテル営業,旅館 浅草指月,(03)3843-2345,浅草一丁目31番11号,,,,,,35.712429,139.796097,株式会社 三河屋別館,,東京都台東区浅草一丁目31番11号,,,,,,,1995-09-01,
131067,,,31台台健生環き第10280号,簡易宿所営業,Kaguya Asakusa,,浅草一丁目32番2号,,,,,,35.711803,139.796783,有限会社ﾗｲﾍﾞｯｸｽ,,群馬県前橋市上小出町三丁目15番地1,,,,,,(027)233-6595,2020-03-05,
131067,,,30台台健生環き第60号,簡易宿所営業,SAUNALAND ASAKUSA,(03)5830-7140,浅草一丁目34番2号,,,,,,35.712093,139.797424,株式会社7garden,,東京都品川区荏原一丁目3番15号,,,,,,(03)6676-4662,2018-07-20,
131067,,,17台台健生環き第76号,旅館・ホテル営業,ASAKUSA 阿つみ,(03)3841-5701,浅草一丁目34番9号,,,,,,35.712223,139.797684,ｱｸﾞﾚ都市ﾃﾞｻﾞｲﾝ株式会社,,東京都新宿区西新宿二丁目6番1号新宿住友ﾋﾞﾙ31階,,,,,,(03)6258-0035,2007-02-08,
131067,,,3台台健生環き第10151号,旅館・ホテル営業,宿家 浅草別邸,,浅草一丁目39番1号,,,,,,35.712307,139.794724,SOUﾎｰﾙﾃﾞｨﾝｸﾞｽ株式会社,,千葉県千葉市美浜区新港32番地1,,,,,,(043)244-7860,2022-01-31,
131067,,,20台台健生環き第75号,旅館・ホテル営業,ﾋﾞｰｺﾝﾃ浅草,(03)5827-5622,浅草二丁目4番2号,,,,,,35.713177,139.794083,ｹﾈﾃﾞｨｸｽ･ﾌﾟﾛﾊﾟﾃｨ･ﾃﾞｻﾞｲﾝ株式会社,,東京都港区西新橋一丁目2番9号日比谷ｾﾝﾄﾗﾙﾋﾞﾙ6階,,,,,,(03)6633-8110,2011-05-24,
131067,,,27台台健生環き第83号,旅館・ホテル営業,ﾘｯﾁﾓﾝﾄﾞﾎﾃﾙﾌﾟﾚﾐｱ浅草ｲﾝﾀｰﾅｼｮﾅﾙ,(03)5806-3155,浅草二丁目6番7号,,,,,,35.713928,139.793396,ｱｰﾙｴﾇﾃｨｰﾎﾃﾙｽﾞ株式会社,,東京都世田谷区桜新町一丁目34番6号,,,,,,(03)5707-8888,2015-12-08,
131067,,,4台台健生環き第10018号,簡易宿所営業,浅草 SAUNA RESET Pint,(03)3843-1137,浅草二丁目6番15号,,,,,,35.71447,139.793976,株式会社ﾚｰｻﾑ,,東京都千代田区霞が関三丁目2番1号,,,,,,,2022-06-03,
131067,,,22台台健生環き第48号,旅館・ホテル営業,ﾘｯﾁﾓﾝﾄﾞﾎﾃﾙ 浅草,(03)5806-0255,浅草二丁目7番10号,,,,,,35.71418,139.794189,ｱｰﾙｴﾇﾃｨｰﾎﾃﾙｽﾞ株式会社,,東京都世田谷区桜新町一丁目34番6号,,,,,,(03)5211-2151,2012-03-16,
131067,,,29台台健生環き第186号,旅館・ホテル営業,天然温泉凌雲の湯 御宿野乃浅草,(03)5830-0510,浅草二丁目7番20号,,,,,,35.715229,139.79422,株式会社共立ﾒﾝﾃﾅﾝｽ,,東京都千代田区外神田二丁目18番8号,,,,,,,2019-07-12,
131067,,,31台台健生環き第10015号,旅館・ホテル営業,結のや,080-5961-8385,浅草二丁目7番21号,,,,,,35.715202,139.794373,,,,,,,,,,2019-05-16,
131067,,,4台台健生環き第10106号,旅館・ホテル営業,天然温泉凌天の湯 御宿 野乃浅草 別邸,(03)5830-0130,浅草二丁目7番26号,,,,,,35.715088,139.795197,株式会社共立ﾒﾝﾃﾅﾝｽ,,東京都千代田区外神田二丁目18番8号,,,,,,(03)5295-7854,2023-06-16,
131067,,,31台台健生環き第10278号,旅館・ホテル営業,浅草ﾋﾞｭｰﾎﾃﾙｱﾈｯｸｽ六区,(03)3842-7111,浅草二丁目9番10号,,,,,,35.715157,139.79332,ﾋｭｰﾘｯｸﾎﾃﾙﾏﾈｼﾞﾒﾝﾄ株式会社,,東京都中央区日本橋小舟町13番8号,,,,,,(03)5828-4429,2020-06-02,
131067,,,59台浅健衛環き第87号,旅館・ホテル営業,大番会館,(03)3875-0136,浅草二丁目9番14号,,,,,,35.714607,139.793274,株式会社 大番,,東京都台東区浅草二丁目9番14号,,,,,,,1984-11-21,
131067,,,59台浅健衛環き第88号,簡易宿所営業,大番会館,(03)3875-0136,浅草二丁目9番14号,,,,,,35.714607,139.793274,株式会社 大番,,東京都台東区浅草2-9-14,,,,,,,1984-11-21,
131067,,,20台台健生環き第14号,旅館・ホテル営業,ﾎﾃﾙ京阪 浅草,(03)5830-0321,浅草二丁目12番4号,,,,,,35.71492,139.79274,株式会社ﾎﾃﾙ京阪,,大阪府大阪市中央区谷町一丁目2番10号,,,,,,(06)6585-0215,2009-11-09,
131067,,,30台台健生環き第248号,旅館・ホテル営業,TOKYO GUEST 浅草,,浅草二丁目13番10号,,,,,,35.715839,139.793137,株式会社丸鴻ｸﾞﾙｰﾌﾟ,,東京都中央区日本橋本町三丁目8番5号,,,,,,,2019-02-01,
131067,,,21台台健生環き第30号,旅館・ホテル営業,ｹｲｽﾞﾊｳｽ東京ｵｱｼｽ,,浅草二丁目14番10号,,,,,,35.715805,139.79364,株式会社ｹｲｽﾞﾊｳｽ,,京都府京都市下京区納屋町418,,,,,,(075)342-2444,2009-10-09,
131067,,,2台台健生環き第10064号,旅館・ホテル営業,浅草九倶楽部HOTEL,(03)5830-6533,浅草二丁目16番2号,,,,,,35.715782,139.793915,DOTOWN株式会社,,東京都渋谷区千駄ヶ谷二丁目1番8号,,,,,,(03)5339-2577,2020-08-03,
131067,,,33第94号,旅館・ホテル営業,旅館 あさ草,(03)3844-5570,浅草二丁目17番4号,,,,,,35.716019,139.793259,,,,,,,,,,1959-01-16,
131067,,,3台台健生環き第10139号,旅館・ホテル営業,Air Stay 浅草,,浅草二丁目17番4号,,,,,,35.716019,139.793259,合同会社ﾌﾛﾑｽｸﾗｯﾁ,,東京都江東区扇橋二丁目4番4号,,,,,,(03)6666-3534,2022-01-27,
131067,,,6台台健生環き第10039号,旅館・ホテル営業,花宿 浅草二番,,浅草二丁目17番4号,,,,,,35.716019,139.793259,株式会社ﾋﾞｯｸﾞｽﾍﾟｰｽ,,東京都台東区鳥越二丁目13番13号,,,,,,,2024-06-18,
131067,,,59台浅健衛環き第79号,旅館・ホテル営業,ﾎﾃﾙ衣,(03)3844-1646,浅草二丁目17番8号,,,,,,35.716137,139.793701,有限会社 衣澤田,,東京都台東区浅草二丁目17番8号,,,,,,,1984-11-05,
131067,,,2台台健生環き第10006号,旅館・ホテル営業,ﾎﾃﾙﾀﾋﾞﾉｽ浅草,(03)6837-6867,浅草二丁目18番8号,,,,,,35.716316,139.793167,WHGﾎﾃﾙﾀﾋﾞﾉｽ株式会社,,東京都文京区関口二丁目10番8号,,,,,,(03)6837-9899,2020-07-02,
131067,,,17台台健生環き第56号,簡易宿所営業,ｻｸﾗﾎｽﾃﾙ浅草,(03)3847-8111,浅草二丁目24番2号,,,,,,35.715919,139.794708,有限会社ｻｸﾗﾎﾃﾙ,,東京都新宿区西新宿七丁目2番6号 西新宿K-1ﾋﾞﾙ,,,,,,(03)3261-3939,2006-07-10,
131067,,,2台台健生環き第10003号,旅館・ホテル営業,Glamping Tokyo Asakusa,(03)5457-1150,浅草二丁目24番8号,,,,,,35.716198,139.794693,こまちﾃﾗｽ株式会社,,東京都港区高輪四丁目8番29号,,,,,,(03)4455-4975,2020-06-09,
131067,,,31台台健生環き第10076号,旅館・ホテル営業,KINO ASAKUSA HOUSE A,(03)6447-7443,浅草二丁目24番9号,,,,,,35.71616,139.794861,ｴﾋﾞｽ土地建物株式会社,,東京都港区芝三丁目6番13号,,,,,,(03)6447-7443,2019-08-05,
131067,,,31台台健生環き第10077号,旅館・ホテル営業,KINO ASAKUSA HOUSE B,,浅草二丁目24番9号,,,,,,35.71616,139.794861,ｴﾋﾞｽ土地建物株式会社,,東京都港区芝三丁目6番13号,,,,,,(03)6447-7443,2019-08-05,
131067,,,1台浅健衛環き第20号,旅館・ホテル営業,ﾎﾃﾙ ｽﾃｨﾝｸﾞ,(03)3841-7651,浅草二丁目25番5号,,,,,,35.716457,139.793991,有限会社ｽﾃｨﾝｸﾞ,,東京都台東区浅草二丁目25番5号,,,,,,(03)3841-7651,1991-12-10,
131067,,,31台台健生環き第10243号,旅館・ホテル営業,hotel MONday 浅草,,浅草二丁目26番7号,,,,,,35.716766,139.794373,株式会社JHAT,,東京都港区芝大門一丁目10番4号,,,,,,(03)6453-0960,2020-05-11,
131067,,,2台台健生環き第10182号,旅館・ホテル営業,THE KANZASHI TOKYO ASAKUSA,(03)5830-6151,浅草二丁目27番10号,,,,,,35.716534,139.795258,株式会社UBS,,千葉県市川市広尾一丁目6番3号,,,,,,(047)359-2112,2021-03-18,
131067,,,37第12号,旅館・ホテル営業,松むら,(03)3841-6487,浅草二丁目27番16号,,,,,,35.716213,139.795563,,,,,,,,,,1962-07-28,
131067,,,31台台健生環き第10156号,旅館・ホテル営業,御宿 松むら,080-7894-8504,浅草二丁目27番16号,,,,,,35.716213,139.795563,株式会社HAT,,川崎市中原区上小田中五丁目9番11号-101,,,,,,,2019-10-21,
131067,,,57台浅健衛環き第87号,簡易宿所営業,24会館,(03)5827-2424,浅草二丁目29番16号,,,,,,35.715878,139.795975,株式会社二四会館,,東京都台東区浅草2-29-16,,,,,,,1982-12-08,
131067,,,29台台健生環き第195号,簡易宿所営業,馬一INN,,浅草二丁目32番2号,,,,,,35.715309,139.798111,,,,,,,,,,2018-01-31,
131067,,,30台台健生環き第122号,旅館・ホテル営業,浅草YAICHIの宿,,浅草二丁目32番2号,,,,,,35.715309,139.798111,,,,,,,,,,2018-10-23,
131067,,,22台台健生環き第24号,旅館・ホテル営業,ｽｰﾊﾟｰﾎﾃﾙ浅草,,浅草二丁目33番1号,,,,,,35.714947,139.798203,株式会社ｽｰﾊﾟｰﾎﾃﾙ,,大阪府大阪市西区江戸堀三丁目6番35号,,,,,,(06)6543-9000,2011-11-01,
131067,,,6台台健生環き第10006号,旅館・ホテル営業,ぷふか浅草,(03)6458-1147,浅草三丁目2番1号,,,,,,35.71603,139.798126,株式会社ﾆｭｰｻｲｴﾝｽｼﾞｬﾊﾟﾝ,,新潟県上越市頸城区西福島662番地9,,,,,,(025)546-5560,2024-04-16,
131067,,,2台台健生環き第10062号,旅館・ホテル営業,THE MOTO HOTEL ASAKUSA,(03)6240-6207,浅草三丁目2番2号,,,,,,35.716072,139.797974,元山ﾊｳｼﾞﾝｸﾞ株式会社,,東京都文京区本郷二丁目20番12号,,,,,,(03)6721-0067,2021-06-04,
131067,,,4台台健生環き第10161号,旅館・ホテル営業,OTHER SPACE Asakusa,(03)5808-9286,浅草三丁目4番10号,,,,,,35.716454,139.797379,浅草三丁目合同会社,,東京都台東区浅草三丁目4番10号,,,,,,(03)5808-9286,2022-12-27,
131067,,,16台台健生環き第101号,旅館・ホテル営業,ﾊﾟｰｸｲﾝﾋﾀﾞｶﾎﾃﾙ,(03)3871-6777,浅草三丁目4番12号,,,,,,35.716255,139.797424,有限会社 大俊,,東京都台東区浅草三丁目4番12号,,,,,,,2004-12-24,
131067,,,4台台健生環き第10188号,旅館・ホテル営業,Ten Ten Guesthouse,070-5652-8628,浅草三丁目4番12号,,,,,,35.716255,139.797424,株式会社からくり粘土の遊園地社,,東京都新宿区西早稲田二丁目3番5号吉岡ﾋﾞﾙ,,,,,,070-5468-5358,2023-02-20,
131067,,,5台台健生環き第10182号,旅館・ホテル営業,ﾀﾝｼﾞｪﾘﾝ浅草,,浅草三丁目15番2号,,,,,,35.717461,139.793701,,,,,,,,,,2024-01-17,
131067,,,31台台健生環き第10236号,旅館・ホテル営業,KYARA HOTEL,,浅草三丁目15番7号,,,,,,35.717846,139.79364,TKS株式会社,,東京都墨田区江東橋四丁目5番10号,,,,,,,2020-02-28,
131067,,,31台台健生環き第10184号,旅館・ホテル営業,浅草宿,(03)6240-6455,浅草三丁目18番10号,,,,,,35.717186,139.795044,合同会社場,,東京都台東区駒形一丁目10番4号椿やﾋﾞﾙ,,,,,,,2019-11-18,
131067,,,2台台健生環き第10213号,旅館・ホテル営業,TOSEI HOTEL COCONE 浅草,(03)3874-5541,浅草三丁目26番10号,,,,,,35.716621,139.798386,ﾄｰｾｲ･ﾎﾃﾙ･ﾏﾈｼﾞﾒﾝﾄ株式会社,,東京都港区芝浦四丁目5番4号,,,,,,(03)5733-2518,2021-06-25,
131067,,,30台台健生環き第176号,旅館・ホテル営業,和ﾊｳｽ,,浅草三丁目28番10号,,,,,,35.717102,139.798874,,,,,,,,,,2018-12-04,
131067,,,3台台健生環き第10051号,旅館・ホテル営業,Hotel Asakusa KANNONURA,(03)4405-4721,浅草三丁目29番3号,,,,,,35.71701,139.798157,ﾌﾟﾗﾁﾅﾎｰﾑ株式会社,,東京都武蔵野市吉祥寺本町一丁目3番1号,,,,,,(0422)27-5725,2021-06-28,
131067,,,2台台健生環き第10100号,旅館・ホテル営業,hotel asakusa KANNON URA,,浅草三丁目29番4号,,,,,,35.71714,139.798187,株式会社Livmo,,東京都千代田区神田錦町3-11弦本ﾋﾞﾙ4階,,,,,,(03)4405-4721,2020-10-09,
131067,,,30台台健生環き第337号,旅館・ホテル営業,ASAKUSA 茶華-chaka-,,浅草三丁目29番10号,,,,,,35.717197,139.798553,合同会社無聲,,東京都世田谷区代田一丁目6番18号ﾗ･ﾌｫｰﾚ代田B棟103,,,,,,,2019-04-25,
131067,,,31台台健生環き第10215号,旅館・ホテル営業,Stay SAKURA Tokyo 浅草 横綱,(03)6695-0123,浅草三丁目30番5号,,,,,,35.71735,139.797867,三光ｿﾌﾗﾝ株式会社,,埼玉県さいたま市大宮区大成町一丁目246番地,,,,,,(048)667-1000,2019-12-04,
131067,,,31台台健生環き第10239号,旅館・ホテル営業,T HOTEL,,浅草三丁目31番3号,,,,,,35.717297,139.79747,珈垚株式会社,,東京都足立区千住元町15-4,,,,,,,2020-11-19,
131067,,,30台台健生環き第153号,旅館・ホテル営業,茶室ryokan asakusa,(03)5808-9021,浅草三丁目32番12号,,,,,,35.717163,139.797379,株式会社ﾚｯﾄﾞﾃｯｸ,,東京都中央区銀座一丁目5番5-41号,,,,,,(03)5579-9785,2019-03-28,
131067,,,29台台健生環き第202号,簡易宿所営業,和草はなれ,,浅草三丁目36番4号,,,,,,35.717716,139.795364,,,,,,,,,,2018-03-27,
131067,,,2台台健生環き第10048号,旅館・ホテル営業,LacQuer House ASAKUSA,,浅草三丁目41番2号,,,,,,35.717999,139.793304,株式会社 Brain Trust from The Sun,,東京都中央区京橋一丁目6番13号,,,,,,(03)6263-0423,2020-07-03,
131067,,,3台台健生環き第10196号,旅館・ホテル営業,浅草吉居 ASAKUSA YOSHII HOTEL,,浅草三丁目42番4号,,,,,,35.718231,139.792862,株式会社ﾌﾞﾙｰﾑｰﾝｴﾝﾀｰﾃｲﾒﾝﾄ,,東京都台東区浅草三丁目42番4号,,,,,,,2022-04-07,
131067,,,3台台健生環き第10152号,旅館・ホテル営業,宿家 浅草本館,,浅草四丁目6番6号,,,,,,35.718323,139.797882,SOUﾎｰﾙﾃﾞｨﾝｸﾞｽ株式会社,,千葉県千葉市美浜区新港32番地1,,,,,,(043)244-7860,2022-01-28,
131067,,,5台台健生環き第10053号,旅館・ホテル営業,La Casita Asakusa(ﾗ ｶｼｰﾀ ｱｻｸｻ),,浅草四丁目8番3号,,,,,,35.717873,139.79715,,,,,,,,,,2023-07-24,
131067,,,3台台健生環き第10155号,旅館・ホテル営業,宿家 やなぎ通り西棟,(03)6802-4915,浅草四丁目10番4号,,,,,,35.718243,139.79689,SOUﾎｰﾙﾃﾞｨﾝｸﾞｽ株式会社,,千葉県千葉市美浜区新港32番地1,,,,,,(043)244-7860,2022-01-28,
131067,,,3台台健生環き第10156号,旅館・ホテル営業,宿家 やなぎ通り東棟,,浅草四丁目10番4号,,,,,,35.718243,139.79689,SOUﾎｰﾙﾃﾞｨﾝｸﾞｽ株式会社,,千葉県千葉市美浜区新港32番地1,,,,,,(043)244-7860,2022-01-28,
131067,,,28台台健生環き第56号,簡易宿所営業,象潟INN,,浅草四丁目11番9号,,,,,,35.718346,139.796799,,,,,,,,,,2016-09-30,
131067,,,4台台健生環き第10191号,旅館・ホテル営業,HAYAKAWA homestay,,浅草四丁目15番6号,,,,,,35.718769,139.795914,金雲株式会社,,東京都中央区日本橋堀留町一丁目8番15号,,,,,,(03)6661-2176,2023-03-16,
131067,,,30台台健生環き第105号,旅館・ホテル営業,ぱんだﾊｳｽ浅草4丁目,(03)5849-4545,浅草四丁目26番5号,,,,,,35.719254,139.793106,株式会社ぱんだﾊｳｽ,,東京都台東区竜泉三丁目4番5号,,,,,,(03)5849-4545,2018-10-19,
131067,,,31台台健生環き第10235号,簡易宿所営業,ﾎｽﾃﾙわさび浅草,(03)5603-6368,浅草四丁目31番8号,,,,,,35.720085,139.793442,株式会社平成ｴﾝﾀｰﾌﾟﾗｲｽﾞ,,埼玉県志木市本町五丁目22番26号,,,,,,(048)487-9090,2020-01-14,
131067,,,5台台健生環き第10079号,旅館・ホテル営業,ﾏｰﾍﾞﾗｽ浅草,(03)6722-6715,浅草四丁目43番7号,,,,,,35.718941,139.796921,株式会社PIPI,,東京都港区西新橋一丁目18番6号ｸﾛｽｵﾌｨｽ内幸町908号室,,,,,,(03)6722-6716,2023-08-03,
131067,,,29台台健生環き第143号,簡易宿所営業,ｵﾘｴﾝﾀﾙﾛｯｼﾞ,(03)6802-3454,浅草四丁目48番15号,,,,,,35.718788,139.798981,,,,,,,,,,2018-01-23,
131067,,,53台浅健衛環き第54号,簡易宿所営業,ﾎﾃﾙ ﾊﾞﾝﾄﾞﾝ,(03)3875-4057,浅草四丁目49番14号,,,,,,35.718193,139.799164,,,,,,,,,,1979-12-11,
131067,,,31台台健生環き第10117号,旅館・ホテル営業,ASAKUSA KEI HOTEL(浅草 桂 ﾎﾃﾙ),(03)6915-5187,浅草五丁目2番2号,,,,,,35.719028,139.798782,桂合同会社,,東京都台東区浅草五丁目2番2号,,,,,,(03)6915-5187,2019-10-09,
131067,,,31台台健生環き第10123号,旅館・ホテル営業,HOTEL 心 asakusa,(03)6806-7119,浅草五丁目2番6号,,,,,,35.719498,139.798843,合同会社ﾄﾘｯﾌﾟﾃﾞｨﾍﾞﾛｯﾌﾟﾒﾝﾄ,,埼玉県草加市氷川町2101番地3,,,,,,,2020-06-19,
131067,,,31台台健生環き第10001号,旅館・ホテル営業,○,090-1102-8774,浅草五丁目5番2号,,,,,,35.71936,139.797348,Cho Company株式会社,,東京都台東区浅草五丁目5番2号,,,,,,090-1102-8774,2019-09-18,
131067,,,2台台健生環き第10257号,旅館・ホテル営業,花豆の宿･浅草五丁目,(03)6326-8923,浅草五丁目6番4号,,,,,,35.719563,139.796814,上里田株式会社,,東京都足立区柳原二丁目51番5号FLOWER,,,,,,,2021-04-16,
131067,,,29台台健生環き第237号,簡易宿所営業,SUI~粋~,,浅草五丁目9番4号,,,,,,35.719955,139.795441,株式会社FreeAL,,東京都世田谷区瀬田一丁目30番28号301,,,,,,,2018-06-04,
131067,,,31台台健生環き第10200号,旅館・ホテル営業,HOTEL LITTLE BIRD OKU-ASAKUSA,,浅草五丁目14番4号,,,,,,35.721149,139.794785,合同会社 ﾘﾄﾙﾊﾞｰﾄﾞ,,東京都文京区小石川三丁目3番9号,,,,,,,2019-12-13,
131067,,,6台台健生環き第10195号,旅館・ホテル営業,Omotenashi HOTEL FamilyStay,(03)4363-4580,浅草五丁目15番6号,,,,,,35.720882,139.795166,そだてる投資株式会社,,東京都台東区浅草五丁目40番11‐202号,,,,,,(03)4363-4580,2025-01-22,
131067,,,31台台健生環き第10181号,旅館・ホテル営業,吉月閣 浅草5丁目,,浅草五丁目30番5号,,,,,,35.720974,139.795624,ｸﾞﾛｰﾊﾞﾙﾌﾟﾛｼﾞｬﾊﾟﾝ株式会社,,東京都武蔵野市吉祥寺北町二丁目2番18号-201,,,,,,080-4428-0360,2019-12-03,
131067,,,6台台健生環き第10091号,旅館・ホテル営業,Omotenashi HOTEL Asakusa,(03)4363-4580,浅草五丁目31番5号,,,,,,35.721153,139.795486,そだてる投資株式会社,,東京都台東区浅草五丁目40番11‐202号,,,,,,(03)4363-4580,2024-09-13,
131067,,,31台台健生環き第10149号,旅館・ホテル営業,三葉旅館,090-8048-4455,浅草五丁目31番9号,,,,,,35.721012,139.795578,建辰合同会社,,東京都足立区関原一丁目5番8号,,,,,,(048)499-2026,2019-10-08,
131067,,,5台台健生環き第10243号,旅館・ホテル営業,B/C APARTMENT 浅草花園通 ﾚﾝﾀｶｰ/ｻｳﾅ付ﾎﾃﾙ,(03)4531-9681,浅草五丁目32番3号,,,,,,35.721264,139.794983,株式会社桝屋ﾋﾞｼﾞﾈｽｻｰﾋﾞｽ,,東京都西多摩郡瑞穂町箱根ｹ崎東松原8番地7,,,,,,(042)568-1281,2024-03-08,
131067,,,3台台健生環き第10135号,旅館・ホテル営業,宿家 浅草千草町,(03)6802-4915,浅草五丁目35番3号,,,,,,35.721397,139.796005,株式会社洛斗ｺｰﾎﾟﾚｰｼｮﾝ,,京都府京都市伏見区深草小久保町210番地,,,,,,,2021-12-21,
131067,,,5台台健生環き第10246号,旅館・ホテル営業,Asakusa Yoshi,090-2339-3433,浅草五丁目35番4号,,,,,,35.721474,139.796021,銘創合同会社,,東京都台東区浅草五丁目35番4号,,,,,,090-2339-3433,2024-02-27,
